ID,board,player,winner
0.png,[0 0 1 0 0 1 1 1 2],X,1
1.png,[0 0 1 0 0 1 1 2 2],O,0
2.png,[0 0 1 0 0 1 2 1 2],O,0
3.png,[0 0 1 0 0 2 1 1 2],O,0
4.png,[0 0 1 0 0 2 1 2 1],O,0
5.png,[0 0 1 0 0 2 2 1 1],O,0
6.png,[0 0 1 0 1 0 2 1 1],X,1
7.png,[0 0 1 0 1 0 2 1 2],O,0
8.png,[0 0 1 0 1 0 2 2 1],O,0
9.png,[0 0 1 0 1 1 2 0 2],O,0
10.png,[0 0 1 0 1 1 2 1 0],X,1
11.png,[0 0 1 0 1 1 2 2 0],O,0
12.png,[0 0 1 0 1 1 2 2 2],X,1
13.png,[0 0 1 0 1 2 2 0 1],O,0
14.png,[0 0 1 0 1 2 2 1 0],O,0
15.png,[0 0 1 0 1 2 2 1 2],X,1
16.png,[0 0 1 0 1 2 2 2 1],X,1
17.png,[0 0 1 0 1 2 2 2 2],O,0
18.png,[0 0 1 0 2 0 1 1 2],O,0
19.png,[0 0 1 0 2 0 1 2 1],O,0
20.png,[0 0 1 0 2 0 2 1 1],O,0
21.png,[0 0 1 0 2 1 1 0 2],O,0
22.png,[0 0 1 0 2 1 1 1 0],X,1
23.png,[0 0 1 0 2 1 1 2 0],O,0
24.png,[0 0 1 0 2 1 1 2 2],X,0
25.png,[0 0 1 0 2 1 2 1 0],O,1
26.png,[0 0 1 0 2 1 2 1 2],X,1
27.png,[0 0 1 0 2 1 2 2 2],O,0
28.png,[0 0 1 0 2 2 1 0 1],O,0
29.png,[0 0 1 0 2 2 1 1 0],O,0
30.png,[0 0 1 0 2 2 1 1 2],X,0
31.png,[0 0 1 0 2 2 1 2 1],X,0
32.png,[0 0 1 0 2 2 1 2 2],O,0
33.png,[0 0 1 0 2 2 2 1 1],X,1
34.png,[0 0 1 0 2 2 2 1 2],O,0
35.png,[0 0 1 0 2 2 2 2 1],O,0
36.png,[0 0 1 1 0 0 1 1 2],X,1
37.png,[0 0 1 1 0 0 1 2 1],X,1
38.png,[0 0 1 1 0 0 1 2 2],O,1
39.png,[0 0 1 1 0 0 2 1 1],X,2
40.png,[0 0 1 1 0 0 2 1 2],O,2
41.png,[0 0 1 1 0 0 2 2 1],O,2
42.png,[0 0 1 1 0 1 0 1 2],X,1
43.png,[0 0 1 1 0 1 0 2 2],O,0
44.png,[0 0 1 1 0 1 2 2 2],X,1
45.png,[0 0 1 1 0 2 0 1 1],X,2
46.png,[0 0 1 1 0 2 0 1 2],O,2
47.png,[0 0 1 1 0 2 0 2 1],O,0
48.png,[0 0 1 1 0 2 1 2 2],X,1
49.png,[0 0 1 1 0 2 2 1 2],X,1
50.png,[0 0 1 1 0 2 2 2 1],X,1
51.png,[0 0 1 1 0 2 2 2 2],O,1
52.png,[0 0 1 1 1 0 0 1 2],X,2
53.png,[0 0 1 1 1 0 0 2 1],X,2
54.png,[0 0 1 1 1 0 0 2 2],O,2
55.png,[0 0 1 1 1 0 2 0 1],X,2
56.png,[0 0 1 1 1 0 2 0 2],O,0
57.png,[0 0 1 1 1 0 2 1 0],X,2
58.png,[0 0 1 1 1 0 2 2 0],O,0
59.png,[0 0 1 1 1 0 2 2 2],X,2
60.png,[0 0 1 1 1 2 0 0 1],X,2
61.png,[0 0 1 1 1 2 0 0 2],O,0
62.png,[0 0 1 1 1 2 0 1 0],X,2
63.png,[0 0 1 1 1 2 0 2 0],O,0
64.png,[0 0 1 1 1 2 0 2 2],X,2
65.png,[0 0 1 1 1 2 2 0 0],O,0
66.png,[0 0 1 1 1 2 2 0 2],X,0
67.png,[0 0 1 1 1 2 2 2 0],X,0
68.png,[0 0 1 1 2 0 0 1 1],X,2
69.png,[0 0 1 1 2 0 0 1 2],O,2
70.png,[0 0 1 1 2 0 0 2 1],O,2
71.png,[0 0 1 1 2 0 1 0 1],X,1
72.png,[0 0 1 1 2 0 1 0 2],O,0
73.png,[0 0 1 1 2 0 1 1 0],X,1
74.png,[0 0 1 1 2 0 1 2 0],O,0
75.png,[0 0 1 1 2 0 1 2 2],X,1
76.png,[0 0 1 1 2 0 2 0 1],O,2
77.png,[0 0 1 1 2 0 2 1 0],O,2
78.png,[0 0 1 1 2 0 2 1 2],X,2
79.png,[0 0 1 1 2 0 2 2 1],X,2
80.png,[0 0 1 1 2 0 2 2 2],O,2
81.png,[0 0 1 1 2 1 0 0 2],O,0
82.png,[0 0 1 1 2 1 0 1 0],X,1
83.png,[0 0 1 1 2 1 0 2 0],O,0
84.png,[0 0 1 1 2 1 0 2 2],X,0
85.png,[0 0 1 1 2 1 1 0 0],X,1
86.png,[0 0 1 1 2 1 2 0 0],O,0
87.png,[0 0 1 1 2 1 2 0 2],X,1
88.png,[0 0 1 1 2 1 2 2 0],X,1
89.png,[0 0 1 1 2 2 0 0 1],O,0
90.png,[0 0 1 1 2 2 0 1 0],O,2
91.png,[0 0 1 1 2 2 0 1 2],X,2
92.png,[0 0 1 1 2 2 0 2 1],X,2
93.png,[0 0 1 1 2 2 0 2 2],O,0
94.png,[0 0 1 1 2 2 1 0 0],O,0
95.png,[0 0 1 1 2 2 1 0 2],X,1
96.png,[0 0 1 1 2 2 1 2 0],X,1
97.png,[0 0 1 1 2 2 2 0 1],X,1
98.png,[0 0 1 1 2 2 2 0 2],O,0
99.png,[0 0 1 1 2 2 2 1 0],X,1
100.png,[0 0 1 1 2 2 2 2 0],O,0
101.png,[0 0 1 1 2 2 2 2 2],X,1
102.png,[0 0 1 2 0 0 1 1 2],O,0
103.png,[0 0 1 2 0 0 1 2 1],O,0
104.png,[0 0 1 2 0 0 2 1 1],O,0
105.png,[0 0 1 2 0 1 0 1 2],O,0
106.png,[0 0 1 2 0 1 1 2 2],X,1
107.png,[0 0 1 2 0 1 2 1 2],X,1
108.png,[0 0 1 2 0 1 2 2 2],O,0
109.png,[0 0 1 2 0 2 0 1 1],O,0
110.png,[0 0 1 2 0 2 1 1 2],X,1
111.png,[0 0 1 2 0 2 1 2 1],X,1
112.png,[0 0 1 2 0 2 1 2 2],O,1
113.png,[0 0 1 2 0 2 2 1 1],X,0
114.png,[0 0 1 2 0 2 2 1 2],O,0
115.png,[0 0 1 2 0 2 2 2 1],O,0
116.png,[0 0 1 2 1 0 0 1 1],X,1
117.png,[0 0 1 2 1 0 0 1 2],O,2
118.png,[0 0 1 2 1 0 0 2 1],O,2
119.png,[0 0 1 2 1 0 2 0 1],O,0
120.png,[0 0 1 2 1 0 2 1 0],O,0
121.png,[0 0 1 2 1 0 2 1 2],X,2
122.png,[0 0 1 2 1 0 2 2 1],X,2
123.png,[0 0 1 2 1 0 2 2 2],O,0
124.png,[0 0 1 2 1 1 0 0 2],O,0
125.png,[0 0 1 2 1 1 0 1 0],X,1
126.png,[0 0 1 2 1 1 0 2 0],O,0
127.png,[0 0 1 2 1 1 0 2 2],X,1
128.png,[0 0 1 2 1 1 2 0 0],O,0
129.png,[0 0 1 2 1 1 2 0 2],X,0
130.png,[0 0 1 2 1 1 2 2 0],X,0
131.png,[0 0 1 2 1 2 0 0 1],O,0
132.png,[0 0 1 2 1 2 0 1 0],O,2
133.png,[0 0 1 2 1 2 0 1 2],X,1
134.png,[0 0 1 2 1 2 0 2 1],X,1
135.png,[0 0 1 2 1 2 0 2 2],O,2
136.png,[0 0 1 2 1 2 2 0 1],X,0
137.png,[0 0 1 2 1 2 2 0 2],O,0
138.png,[0 0 1 2 1 2 2 1 0],X,2
139.png,[0 0 1 2 1 2 2 2 0],O,0
140.png,[0 0 1 2 1 2 2 2 2],X,2
141.png,[0 0 1 2 2 0 0 1 1],O,2
142.png,[0 0 1 2 2 0 1 0 1],O,0
143.png,[0 0 1 2 2 0 1 1 0],O,0
144.png,[0 0 1 2 2 0 1 1 2],X,0
145.png,[0 0 1 2 2 0 1 2 1],X,0
146.png,[0 0 1 2 2 0 1 2 2],O,0
147.png,[0 0 1 2 2 0 2 1 1],X,2
148.png,[0 0 1 2 2 0 2 1 2],O,0
149.png,[0 0 1 2 2 0 2 2 1],O,0
150.png,[0 0 1 2 2 1 0 1 0],O,1
151.png,[0 0 1 2 2 1 0 1 2],X,1
152.png,[0 0 1 2 2 1 0 2 2],O,0
153.png,[0 0 1 2 2 1 1 0 0],O,0
154.png,[0 0 1 2 2 1 1 0 2],X,1
155.png,[0 0 1 2 2 1 1 2 0],X,1
156.png,[0 0 1 2 2 1 2 0 2],O,0
157.png,[0 0 1 2 2 1 2 1 0],X,1
158.png,[0 0 1 2 2 1 2 2 0],O,0
159.png,[0 0 1 2 2 1 2 2 2],X,0
160.png,[0 0 1 2 2 2 0 1 1],X,1
161.png,[0 0 1 2 2 2 0 1 2],O,2
162.png,[0 0 1 2 2 2 0 2 1],O,0
163.png,[0 0 1 2 2 2 1 0 1],X,1
164.png,[0 0 1 2 2 2 1 0 2],O,0
165.png,[0 0 1 2 2 2 1 1 0],X,1
166.png,[0 0 1 2 2 2 1 2 0],O,0
167.png,[0 0 1 2 2 2 1 2 2],X,1
168.png,[0 0 1 2 2 2 2 0 1],O,0
169.png,[0 0 1 2 2 2 2 1 0],O,2
170.png,[0 0 1 2 2 2 2 1 2],X,2
171.png,[0 0 1 2 2 2 2 2 1],X,0
172.png,[0 0 1 2 2 2 2 2 2],O,0
173.png,[0 0 2 0 0 1 1 1 2],O,0
174.png,[0 0 2 0 0 1 1 2 1],O,0
175.png,[0 0 2 0 0 1 2 1 1],O,0
176.png,[0 0 2 0 1 0 1 1 2],O,0
177.png,[0 0 2 0 1 0 1 2 1],O,0
178.png,[0 0 2 0 1 0 2 1 1],O,0
179.png,[0 0 2 0 1 1 1 0 1],X,1
180.png,[0 0 2 0 1 1 1 0 2],O,0
181.png,[0 0 2 0 1 1 1 1 0],X,1
